"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",125.153464,1.743368,NA,"Paracanthurus hepatus"
"gbif",152.708852,-24.114077,NA,"Paracanthurus hepatus"
"gbif",152.709631,-24.11396,NA,"Paracanthurus hepatus"
"gbif",123.89355,-5.775017,NA,"Paracanthurus hepatus"
"gbif",55.864143,-4.321608,NA,"Paracanthurus hepatus"
"gbif",55.21609,-21.07355,NA,"Paracanthurus hepatus"
"gbif",55.48123,-21.34933,NA,"Paracanthurus hepatus"
"gbif",167.407603,-22.592943,NA,"Paracanthurus hepatus"
"gbif",57.625819,-19.949027,NA,"Paracanthurus hepatus"
"gbif",179.108445,-17.070864,NA,"Paracanthurus hepatus"
"gbif",179.078016,-17.05443,NA,"Paracanthurus hepatus"
"gbif",153.364044,-29.479089,NA,"Paracanthurus hepatus"
"gbif",130.689082,-0.556017,NA,"Paracanthurus hepatus"
"gbif",146.305428,-16.798186,NA,"Paracanthurus hepatus"
"gbif",167.04373,-20.78002,NA,"Paracanthurus hepatus"
"gbif",153.628374,-28.611278,NA,"Paracanthurus hepatus"
"gbif",39.367944,-4.656524,NA,"Paracanthurus hepatus"
"gbif",148.440796,-17.636875,NA,"Paracanthurus hepatus"
"gbif",122.000931,25.015492,NA,"Paracanthurus hepatus"
"gbif",72.970089,2.728201,NA,"Paracanthurus hepatus"
"gbif",55.834,-4.356636,NA,"Paracanthurus hepatus"
"gbif",39.307294,-6.353158,NA,"Paracanthurus hepatus"
"gbif",128.525556,27.384722,NA,"Paracanthurus hepatus"
"gbif",44.97194,-12.9225,NA,"Paracanthurus hepatus"
"gbif",121.580818,22.0757,NA,"Paracanthurus hepatus"
"gbif",129.29053,28.169633,NA,"Paracanthurus hepatus"
"gbif",114.169361,22.319095,NA,"Paracanthurus hepatus"
"gbif",145.66355,-14.6636,NA,"Paracanthurus hepatus"
"gbif",168.222719,-16.593349,NA,"Paracanthurus hepatus"
"gbif",147.699192,-18.287067,NA,"Paracanthurus hepatus"
"gbif",-149.61879,-17.63363,NA,"Paracanthurus hepatus"
"gbif",116.065861,-8.349668,NA,"Paracanthurus hepatus"
"gbif",144.10688,-13.64735,NA,"Paracanthurus hepatus"
"gbif",152.714691,-24.113935,NA,"Paracanthurus hepatus"
"gbif",121.500873,22.680581,NA,"Paracanthurus hepatus"
"gbif",128.533889,27.404722,NA,"Paracanthurus hepatus"
"gbif",121.490278,22.680278,NA,"Paracanthurus hepatus"
"gbif",125.891751,-8.476267,NA,"Paracanthurus hepatus"
"gbif",55.219472,-21.057139,NA,"Paracanthurus hepatus"
"gbif",164.54949,-21.65491,NA,"Paracanthurus hepatus"
"gbif",153.579109,-28.196141,NA,"Paracanthurus hepatus"
"gbif",127.403891,26.189035,NA,"Paracanthurus hepatus"
"gbif",55.21915,-21.05823,NA,"Paracanthurus hepatus"
"gbif",130.555722,-2.244373,NA,"Paracanthurus hepatus"
"gbif",130.567717,-2.204717,NA,"Paracanthurus hepatus"
"gbif",102.72309,5.92916,NA,"Paracanthurus hepatus"
"gbif",153.26482,-30.20432,NA,"Paracanthurus hepatus"
"gbif",123.02615,-12.20167,0,"Paracanthurus hepatus"
"gbif",122.9257,-12.24143,0,"Paracanthurus hepatus"
"gbif",123.04084,-12.19379,0,"Paracanthurus hepatus"
"gbif",152.707481,-24.113638,NA,"Paracanthurus hepatus"
"gbif",145.579965,15.022028,NA,"Paracanthurus hepatus"
"gbif",115.5926,-8.27391,NA,"Paracanthurus hepatus"
"gbif",39.382532,-5.816751,NA,"Paracanthurus hepatus"
"gbif",127.2903,26.20191,NA,"Paracanthurus hepatus"
"gbif",128.521111,27.388889,NA,"Paracanthurus hepatus"
"gbif",39.465298,-5.840112,NA,"Paracanthurus hepatus"
